Col_0,Col_1,cid,name,smiles,weight,formula,xlogp
identifier,note,404 Not Found,404 Not Found,404 Not Found,404 Not Found,404 Not Found,404 Not Found
2244,阿司匹林 CID,2244,2-acetyloxybenzoic acid,CC(=O)OC1=CC=CC=C1C(=O)O,180.16,C9H8O4,1.2
5090,木糖 CID,5090,3-(4-methylsulfonylphenyl)-4-phenyl-2H-furan-5-one,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3,314.4,C17H14O4S,2.3
"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",乙醇 InChI,702,ethanol,CCO,46.07,C2H6O,-0.1
CCO,乙醇 SMILES,702,ethanol,CCO,46.07,C2H6O,-0.1
C1=CC=CC=C1,苯 SMILES,241,benzene,C1=CC=CC=C1,78.11,C6H6,2.1
glucose,葡萄糖 Name,5793,"(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,180.16,C6H12O6,-2.6
aspirin,阿司匹林 Name,2244,2-acetyloxybenzoic acid,CC(=O)OC1=CC=CC=C1C(=O)O,180.16,C9H8O4,1.2
not_a_real_compound,错误名应触发 404,404 Not Found,404 Not Found,404 Not Found,404 Not Found,404 Not Found,404 Not Found
,这是空行,404 Not Found,404 Not Found,404 Not Found,404 Not Found,404 Not Found,404 Not Found
